gig_title,company,description,budget_min_usd,budget_max_usd,duration_weeks,location,required_skills,url,career_title
Freelance Project: Curator Expert Needed,Fiverr,Seeking a skilled professional in Curator for a project on a popular freelance platform.,1808,2925,6,Onsite,"Skill A, Skill B, Curator expertise",https://example.com/gig/curator-2,Curator
Freelance Project: Biomedical Engineer Expert Needed,Freelancer,Seeking a skilled professional in Biomedical Engineer for a project on a popular freelance platform.,1177,3949,7,Onsite,"Skill A, Skill B, Biomedical Engineer expertise",https://example.com/gig/biomedical-engineer-1,Biomedical Engineer
Freelance Project: Biomedical Engineer Expert Needed,Upwork,Seeking a skilled professional in Biomedical Engineer for a project on a popular freelance platform.,767,4125,6,Remote,"Skill A, Skill B, Biomedical Engineer expertise",https://example.com/gig/biomedical-engineer-2,Biomedical Engineer
Freelance Project: Forest Ranger Expert Needed,Toptal,Seeking a skilled professional in Forest Ranger for a project on a popular freelance platform.,777,3680,5,Hybrid,"Skill A, Skill B, Forest Ranger expertise",https://example.com/gig/forest-ranger-1,Forest Ranger
Freelance Project: Forest Ranger Expert Needed,PeoplePerHour,Seeking a skilled professional in Forest Ranger for a project on a popular freelance platform.,840,4219,7,Onsite,"Skill A, Skill B, Forest Ranger expertise",https://example.com/gig/forest-ranger-2,Forest Ranger
Freelance Project: Financial Quantitative Analyst Expert Needed,Upwork,Seeking a skilled professional in Financial Quantitative Analyst for a project on a popular freelance platform.,1225,3992,7,Remote,"Skill A, Skill B, Financial Quantitative Analyst expertise",https://example.com/gig/financial-quantitative-analyst-1,Financial Quantitative Analyst
Freelance Project: Financial Quantitative Analyst Expert Needed,PeoplePerHour,Seeking a skilled professional in Financial Quantitative Analyst for a project on a popular freelance platform.,1047,2767,6,Hybrid,"Skill A, Skill B, Financial Quantitative Analyst expertise",https://example.com/gig/financial-quantitative-analyst-2,Financial Quantitative Analyst
Freelance Project: Marine Biologist Expert Needed,Toptal,Seeking a skilled professional in Marine Biologist for a project on a popular freelance platform.,1349,3819,7,Hybrid,"Skill A, Skill B, Marine Biologist expertise",https://example.com/gig/marine-biologist-1,Marine Biologist
Freelance Project: Marine Biologist Expert Needed,PeoplePerHour,Seeking a skilled professional in Marine Biologist for a project on a popular freelance platform.,1236,3205,4,Onsite,"Skill A, Skill B, Marine Biologist expertise",https://example.com/gig/marine-biologist-2,Marine Biologist
Freelance Project: Travel Agent Expert Needed,Upwork,Seeking a skilled professional in Travel Agent for a project on a popular freelance platform.,1096,2684,2,Onsite,"Skill A, Skill B, Travel Agent expertise",https://example.com/gig/travel-agent-1,Travel Agent
Freelance Project: Travel Agent Expert Needed,Fiverr,Seeking a skilled professional in Travel Agent for a project on a popular freelance platform.,1553,3096,6,Onsite,"Skill A, Skill B, Travel Agent expertise",https://example.com/gig/travel-agent-2,Travel Agent
Freelance Project: Pharmacist Expert Needed,Toptal,Seeking a skilled professional in Pharmacist for a project on a popular freelance platform.,1935,4217,6,Remote,"Skill A, Skill B, Pharmacist expertise",https://example.com/gig/pharmacist-1,Pharmacist
Freelance Project: Pharmacist Expert Needed,Toptal,Seeking a skilled professional in Pharmacist for a project on a popular freelance platform.,1865,4515,5,Onsite,"Skill A, Skill B, Pharmacist expertise",https://example.com/gig/pharmacist-2,Pharmacist
Freelance Project: Market Research Analyst Expert Needed,Guru,Seeking a skilled professional in Market Research Analyst for a project on a popular freelance platform.,693,3714,3,Hybrid,"Skill A, Skill B, Market Research Analyst expertise",https://example.com/gig/market-research-analyst-1,Market Research Analyst
Freelance Project: Market Research Analyst Expert Needed,PeoplePerHour,Seeking a skilled professional in Market Research Analyst for a project on a popular freelance platform.,736,4161,3,Hybrid,"Skill A, Skill B, Market Research Analyst expertise",https://example.com/gig/market-research-analyst-2,Market Research Analyst
Freelance Project: School Counselor Expert Needed,Freelancer,Seeking a skilled professional in School Counselor for a project on a popular freelance platform.,1006,2962,3,Onsite,"Skill A, Skill B, School Counselor expertise",https://example.com/gig/school-counselor-1,School Counselor
Freelance Project: School Counselor Expert Needed,Fiverr,Seeking a skilled professional in School Counselor for a project on a popular freelance platform.,798,3074,2,Hybrid,"Skill A, Skill B, School Counselor expertise",https://example.com/gig/school-counselor-2,School Counselor
Freelance Project: Urban Farmer Expert Needed,Toptal,Seeking a skilled professional in Urban Farmer for a project on a popular freelance platform.,1557,2714,4,Onsite,"Skill A, Skill B, Urban Farmer expertise",https://example.com/gig/urban-farmer-1,Urban Farmer
Freelance Project: Urban Farmer Expert Needed,Upwork,Seeking a skilled professional in Urban Farmer for a project on a popular freelance platform.,1576,3511,7,Remote,"Skill A, Skill B, Urban Farmer expertise",https://example.com/gig/urban-farmer-2,Urban Farmer
Freelance Project: Event Planner Expert Needed,Toptal,Seeking a skilled professional in Event Planner for a project on a popular freelance platform.,1994,4015,4,Remote,"Skill A, Skill B, Event Planner expertise",https://example.com/gig/event-planner-1,Event Planner
Freelance Project: Event Planner Expert Needed,Toptal,Seeking a skilled professional in Event Planner for a project on a popular freelance platform.,822,3536,7,Hybrid,"Skill A, Skill B, Event Planner expertise",https://example.com/gig/event-planner-2,Event Planner
Freelance Project: Interior Designer Expert Needed,PeoplePerHour,Seeking a skilled professional in Interior Designer for a project on a popular freelance platform.,989,3143,5,Onsite,"Skill A, Skill B, Interior Designer expertise",https://example.com/gig/interior-designer-1,Interior Designer
Freelance Project: Interior Designer Expert Needed,Upwork,Seeking a skilled professional in Interior Designer for a project on a popular freelance platform.,1388,3989,4,Hybrid,"Skill A, Skill B, Interior Designer expertise",https://example.com/gig/interior-designer-2,Interior Designer
Freelance Project: Graphic Designer Expert Needed,PeoplePerHour,Seeking a skilled professional in Graphic Designer for a project on a popular freelance platform.,1099,4636,4,Remote,"Skill A, Skill B, Graphic Designer expertise",https://example.com/gig/graphic-designer-1,Graphic Designer
Freelance Project: Graphic Designer Expert Needed,Fiverr,Seeking a skilled professional in Graphic Designer for a project on a popular freelance platform.,1179,3015,5,Onsite,"Skill A, Skill B, Graphic Designer expertise",https://example.com/gig/graphic-designer-2,Graphic Designer
